Minimalism and Modern Classical (October 2008)	Every October the Star joins in with Mole Valley's Arts Alive festival so I usually tried to do something a little bit different for my October nights. This is the first one I did and is very arty! It's also shorter than most as I showed a video at the end of Pink Floyd performing Echoes at Pompeii to mark the recent death of Richard Wright.
Pete Namlook	Genetic Drift		New Organic Life		2001
Amorphous Androgynous	Mountain Goat		Tales of Ephidrina		1993
Bang On a Can	2/1		Music for Airports		1998
John Tavener	I. The Protecting Veil		The Protecting Veil		1988
John Adams	II. Soledades		El Dorado		1991
Philip Glass	Façades		Glassworks		1981
Steve Reich	Part IV		Drumming		1971
John Adams	Cerulean		Hoodoo Zephyr		1993
Cocorosie	Candyland		La Maison de Mon Rêve		2004
Passengers	Slug		Original Soundtracks 1		1995
John Carpenter	Main Title		Assault on Precinct 13		1976
John Adams	On the Dominant Divide		Grand Pianola Music		1982
Steve Reich	III. Fast		Electric Counterpoint		1987
Roxy Music	The Bogus Man		For Your Pleasure		1973
Miles Davis	Shhh/Peaceful		In a Silent Way		2001
Tortoise	DJed		Millions Now Living Will Never Die		1996
Stereolab	Spacemoth		Sound-Dust		2000
Philip Glass	A Gentleman's Honor		The Photographer		1983
Michael Nyman	Bravura in the Face of Grief		The Draughtman's Contract		1982
Philip Glass	Prophecies		Koyaanisqatsi		1982
