What Becomes of the Brokenhearted (November 2013)	On November 23rd last year (2012) this broken heart was mended by an NHS team at London Heart. And just in the nick of time apparently. I can't praise the care I received throughout the process too highly or thank the friends and family that supported me too much. This MNM is just a way to mark the day so that it doesn't slip by unnoticed.
Porcupine Tree	Heartattack in a Layby		In Absentia		2002
Soulsavers	Wise Blood		Broken		2009
Spiritualized	Broken Heart		Ladies and Gentlemen We Are Floating in Space		1997
Philip Glass	String Quartet No. 3 (Mishima) - 4. 1962-Body Building		Kronos Quartet Performs Philip Glass		1995
Le Futur Pompiste	Five Hundred Heartbeats		Le Futur Pompiste		2010
The Good Natured	Your Body Is a Machine	Zebra & Snake Remix	Your Body Is a Machine		2010
Beth Ditto	Open Heart Surgery		Beth Ditto	EP	2011
Little Boots	Hearts Collide		Hands		2009
The Emperor Machine	Bloody Hell		Fabric 19		2004
Cocteau Twins	The Tinderbox (of a Heart)		Head Over Heels		1983
Bell X1	How Your Heart Is Wired		Blue Lights On the Runway		2009
Panic Ensemble	Spring in Your Heart		Panic Ensemble		2008
School of Seven Bells	Heart Is Strange		Disconnect from Desire		2010
...And You Will Know Us By the Trail of Dead	Crowning of a Heart		The Secret of Elanas Tomb	EP	2003
A Silver Mount Zion	This Gentle Hearts Like Shot Birds Fallen		Born Into Trouble As the Sparks Fly Upward		2001
John Barry	Body Heat - Main Theme		John Barry: Collection		2001
Dave Grusin	One Hand, One Heart		Dave Grusin Presents: West Side Story		1997
Dionne Warwick	Anyone Who Had a Heart		More Music to Watch Girls By		1999
Marc Ribot	Don't Go Breaking My Heart		Great Jewish Music: Burt Bacharach		1997
Bonzo Dog Doo Dah Band	I Left My Heart in San Franciso		Gorilla		1967
Björk	Triumph of a Heart		Medulla		2004
Grizzly Bear	Owner of a Lonely Heart		Sorry for the Delay (The Early Recordings)		2006
Captain	This Heart Keeps Beating for Me		This Is Hazelville		2006
Florence + the Machine	Rabbit Heart (Raise It Up)		Lungs		2009
Barry Adamson	Set the Controls for the Heart of the Pelvis		Oedipus Schmoedipus		1996
Primal Scream	Wise Blood		Echo Dek		1997
Sofa Surfers	Longe Bone		Cargo		1999
Nick Lowe	Heart of the City		Quiet Please: The New Best of Nick Lowe		2003
The Yardbirds	Heart Full of Soul		Shapes of Things (60s Groups & Sessions)		2003
The Velvet Underground	Temptation Inside Your Heart		VU		1968
David Bowie	Fill Your Heart		Hunky Dory		1971
Wire	Heartbeat		Chairs Missing		1978
Wax	Bridge to Your Heart		American English		1987
The Human League	Open Your Heart		Dare!		1981
The Associates	Heart of Glass		Popera: The Singles Collection		1990
Stars	Dead Hearts		Five Ghosts		2010
M83	A Guitar and a Heart		Before the Dawn Heals Us		2005
Cowboy Junkies	Little Dark Heart		The Nomad Series: Renmin Park Vol.1		2010
Paul Simon	Run That Body Down		Paul Simon		1972
John Murphy	I Smell Blood		Basic Instinct 2		2006
Genesis	Hairless Heart		The Lamb Lies Down On Broadway		1974
Julee Cruise	Rockin Back Inside My Heart		Floating Into the Night		1989
Joy Division	Heart and Soul		Closer		1980
Voodoo Warriors of Love	Blood		em:t 3394		1994
Monte la Rue	Rhinestone Heart		Interludia		2002
Koop + Terry Callier	In a Heartbeat		Waltz for Koop		2001
Don Blackman	Hearts Desire		Don Blackman		1982
Loot & Plunder	Thinkin Bout Your Body	Cousin Culo Edit		SoundCloud	2013
Thunderball	Heart of the Hustler		Scorpio Rising		2001
